input,output
can you book a table in a expensive price range # any preference on a type of cuisine # with cantonese food # where should it be # in seoul # how many people would be in your party # for four people please # ,api_call
instead could it be in bangkok # ,sure is there anything else to update
actually i would prefer with korean cuisine # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # may i have the address of the restaurant # ,_address
do you have its phone number # phone_call # may i have the address of the restaurant # _address # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
may i have a table in a expensive price range in bangkok # ,any preference on a type of cuisine
may i have a table in a expensive price range in bangkok # any preference on a type of cuisine # with thai food # ,how many people would be in your party
may i have a table in a expensive price range in bangkok # any preference on a type of cuisine # with thai food # how many people would be in your party # we will be four # ,api_call
instead could it be in a cheap price range # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
may i have the phone number of the restaurant # ,phone_call
may i have the phone number of the restaurant # phone_call # can you provide the address # ,_address
may i have the phone number of the restaurant # phone_call # can you provide the address # _address # thank you # ,is there anything i can help you with
no thanks # ,you're welcome
can you book a table in bangkok for four # ,any preference on a type of cuisine
can you book a table in bangkok for four # any preference on a type of cuisine # with vietnamese cuisine # ,which price range are looking for
can you book a table in bangkok for four # any preference on a type of cuisine # with vietnamese cuisine # which price range are looking for # in a cheap price range please # ,api_call
actually i would prefer with cantonese food # ,sure is there anything else to update
actually i would prefer in seoul # ,sure is there anything else to update
no # ,api_call
let's do it # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
can you book a table in hanoi with korean food for four people # ,which price range are looking for
can you book a table in hanoi with korean food for four people # which price range are looking for # i am looking for a expensive restaurant # ,api_call
actually i would prefer with vietnamese cuisine # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
i love that # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
may i have a table in tokyo for eight with korean cuisine # ,which price range are looking for
may i have a table in tokyo for eight with korean cuisine # which price range are looking for # i am looking for a expensive restaurant # ,api_call
instead could it be in seoul # ,sure is there anything else to update
actually i would prefer with japanese food # ,sure is there anything else to update
actually i would prefer for six people # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
what is the phone number of the restaurant # ,phone_call
what is the phone number of the restaurant # phone_call # thank you # ,is there anything i can help you with
no thank you # ,you're welcome
can you make a restaurant reservation with vietnamese food # ,where should it be
can you make a restaurant reservation with vietnamese food # where should it be # in bangkok # ,how many people would be in your party
can you make a restaurant reservation with vietnamese food # where should it be # in bangkok # how many people would be in your party # for eight people please # ,which price range are looking for
can you make a restaurant reservation with vietnamese food # where should it be # in bangkok # how many people would be in your party # for eight people please # which price range are looking for # in a expensive price range please # ,api_call
instead could it be in a moderate price range # ,sure is there anything else to update
instead could it be for six people # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
i love that # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # thank you # ,is there anything i can help you with
no thanks # ,you're welcome
can you book a table for four people with thai food in hanoi # ,which price range are looking for
can you book a table for four people with thai food in hanoi # which price range are looking for # i am looking for a cheap restaurant # ,api_call
instead could it be in tokyo # ,sure is there anything else to update
actually i would prefer with vietnamese food # ,sure is there anything else to update
instead could it be for six people # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
what is the phone number of the restaurant # ,phone_call
what is the phone number of the restaurant # phone_call # can you provide the address # ,_address
what is the phone number of the restaurant # phone_call # can you provide the address # _address # thank you # ,is there anything i can help you with
no thanks # ,you're welcome
may i have a table for eight people # ,any preference on a type of cuisine
may i have a table for eight people # any preference on a type of cuisine # with vietnamese cuisine # ,where should it be
may i have a table for eight people # any preference on a type of cuisine # with vietnamese cuisine # where should it be # in beijing # ,which price range are looking for
may i have a table for eight people # any preference on a type of cuisine # with vietnamese cuisine # where should it be # in beijing # which price range are looking for # i am looking for a cheap restaurant # ,api_call
instead could it be in bangkok # ,sure is there anything else to update
no # ,api_call
let's do it # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # thanks # ,is there anything i can help you with
no thanks # ,you're welcome
may i have a table for four people with thai food # ,where should it be
may i have a table for four people with thai food # where should it be # in seoul # ,which price range are looking for
may i have a table for four people with thai food # where should it be # in seoul # which price range are looking for # in a cheap price range please # ,api_call
actually i would prefer in bangkok # ,sure is there anything else to update
actually i would prefer in a moderate price range # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
it's perfect # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # thank you # ,is there anything i can help you with
no thank you # ,you're welcome
can you make a restaurant reservation in a moderate price range # ,any preference on a type of cuisine
can you make a restaurant reservation in a moderate price range # any preference on a type of cuisine # with thai food # ,where should it be
can you make a restaurant reservation in a moderate price range # any preference on a type of cuisine # with thai food # where should it be # bangkok please # ,how many people would be in your party
can you make a restaurant reservation in a moderate price range # any preference on a type of cuisine # with thai food # where should it be # bangkok please # how many people would be in your party # for two people please # ,api_call
actually i would prefer with japanese food # ,sure is there anything else to update
actually i would prefer for four people # ,sure is there anything else to update
actually i would prefer in a cheap price range # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # may i have the phone number of the restaurant # ,phone_call
do you have its address # _address # may i have the phone number of the restaurant # phone_call # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
i'd like to book a table for eight people in a cheap price range # ,any preference on a type of cuisine
i'd like to book a table for eight people in a cheap price range # any preference on a type of cuisine # with thai cuisine # ,where should it be
i'd like to book a table for eight people in a cheap price range # any preference on a type of cuisine # with thai cuisine # where should it be # seoul please # ,api_call
instead could it be in tokyo # ,sure is there anything else to update
actually i would prefer with korean cuisine # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
it's perfect # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
i'd like to book a table with thai food # ,where should it be
i'd like to book a table with thai food # where should it be # seoul please # ,how many people would be in your party
i'd like to book a table with thai food # where should it be # seoul please # how many people would be in your party # for eight people please # ,which price range are looking for
i'd like to book a table with thai food # where should it be # seoul please # how many people would be in your party # for eight people please # which price range are looking for # i am looking for a moderate restaurant # ,api_call
instead could it be for six # ,sure is there anything else to update
instead could it be in hanoi # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
it's perfect # ,great let me do the reservation
what is the phone number of the restaurant # ,phone_call
what is the phone number of the restaurant # phone_call # thank you # ,is there anything i can help you with
no thanks # ,you're welcome
can you make a restaurant reservation for four with japanese cuisine in a cheap price range # ,where should it be
can you make a restaurant reservation for four with japanese cuisine in a cheap price range # where should it be # tokyo please # ,api_call
actually i would prefer in seoul # ,sure is there anything else to update
instead could it be with vietnamese cuisine # ,sure is there anything else to update
actually i would prefer in a expensive price range # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
i love that # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # thanks # ,is there anything i can help you with
no thank you # ,you're welcome
i'd like to book a table in seoul # ,any preference on a type of cuisine
i'd like to book a table in seoul # any preference on a type of cuisine # with cantonese cuisine # ,how many people would be in your party
i'd like to book a table in seoul # any preference on a type of cuisine # with cantonese cuisine # how many people would be in your party # we will be four # ,which price range are looking for
i'd like to book a table in seoul # any preference on a type of cuisine # with cantonese cuisine # how many people would be in your party # we will be four # which price range are looking for # in a expensive price range please # ,api_call
instead could it be in a cheap price range # ,sure is there anything else to update
instead could it be for two people # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # may i have the address of the restaurant # ,_address
do you have its phone number # phone_call # may i have the address of the restaurant # _address # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
can you make a restaurant reservation for four in a cheap price range # ,any preference on a type of cuisine
can you make a restaurant reservation for four in a cheap price range # any preference on a type of cuisine # with japanese cuisine # ,where should it be
can you make a restaurant reservation for four in a cheap price range # any preference on a type of cuisine # with japanese cuisine # where should it be # tokyo please # ,api_call
actually i would prefer with thai food # ,sure is there anything else to update
actually i would prefer in a expensive price range # ,sure is there anything else to update
actually i would prefer for two people # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
it's perfect # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # thanks # ,is there anything i can help you with
no thanks # ,you're welcome
can you book a table for two in a moderate price range # ,any preference on a type of cuisine
can you book a table for two in a moderate price range # any preference on a type of cuisine # with japanese food # ,where should it be
can you book a table for two in a moderate price range # any preference on a type of cuisine # with japanese food # where should it be # in tokyo # ,api_call
actually i would prefer for six people # ,sure is there anything else to update
instead could it be in hanoi # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # may i have the address of the restaurant # ,_address
do you have its phone number # phone_call # may i have the address of the restaurant # _address # thank you # ,is there anything i can help you with
no thanks # ,you're welcome
i'd like to book a table in a expensive price range # ,any preference on a type of cuisine
i'd like to book a table in a expensive price range # any preference on a type of cuisine # with japanese food # ,where should it be
i'd like to book a table in a expensive price range # any preference on a type of cuisine # with japanese food # where should it be # beijing please # ,how many people would be in your party
i'd like to book a table in a expensive price range # any preference on a type of cuisine # with japanese food # where should it be # beijing please # how many people would be in your party # we will be four # ,api_call
actually i would prefer with thai cuisine # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
i love that # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # thank you # ,is there anything i can help you with
no thanks # ,you're welcome
can you book a table for six people in a expensive price range # ,any preference on a type of cuisine
can you book a table for six people in a expensive price range # any preference on a type of cuisine # with cantonese food # ,where should it be
can you book a table for six people in a expensive price range # any preference on a type of cuisine # with cantonese food # where should it be # in hanoi # ,api_call
instead could it be for four # ,sure is there anything else to update
instead could it be in beijing # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
i love that # ,great let me do the reservation
what is the phone number of the restaurant # ,phone_call
what is the phone number of the restaurant # phone_call # can you provide the address # ,_address
what is the phone number of the restaurant # phone_call # can you provide the address # _address # thanks # ,is there anything i can help you with
no thanks # ,you're welcome
i'd like to book a table in a expensive price range in hanoi for eight # ,any preference on a type of cuisine
i'd like to book a table in a expensive price range in hanoi for eight # any preference on a type of cuisine # with thai food # ,api_call
instead could it be with vietnamese cuisine # ,sure is there anything else to update
actually i would prefer in a cheap price range # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
i love that # ,great let me do the reservation
can you provide the address # ,_address
can you provide the address # _address # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
can you book a table in a expensive price range for four people # ,any preference on a type of cuisine
can you book a table in a expensive price range for four people # any preference on a type of cuisine # with korean food # ,where should it be
can you book a table in a expensive price range for four people # any preference on a type of cuisine # with korean food # where should it be # in bangkok # ,api_call
instead could it be in hanoi # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
it's perfect # ,great let me do the reservation
can you provide the address # ,_address
can you provide the address # _address # what is the phone number of the restaurant # ,phone_call
can you provide the address # _address # what is the phone number of the restaurant # phone_call # thank you # ,is there anything i can help you with
no thank you # ,you're welcome
may i have a table in a moderate price range # ,any preference on a type of cuisine
may i have a table in a moderate price range # any preference on a type of cuisine # with thai food # ,where should it be
may i have a table in a moderate price range # any preference on a type of cuisine # with thai food # where should it be # in hanoi # ,how many people would be in your party
may i have a table in a moderate price range # any preference on a type of cuisine # with thai food # where should it be # in hanoi # how many people would be in your party # we will be two # ,api_call
instead could it be for four # ,sure is there anything else to update
instead could it be in a expensive price range # ,sure is there anything else to update
actually i would prefer with vietnamese food # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
it's perfect # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # what is the phone number of the restaurant # ,phone_call
may i have the address of the restaurant # _address # what is the phone number of the restaurant # phone_call # thanks # ,is there anything i can help you with
no thanks # ,you're welcome
can you book a table in beijing # ,any preference on a type of cuisine
can you book a table in beijing # any preference on a type of cuisine # i love vietnamese food # ,how many people would be in your party
can you book a table in beijing # any preference on a type of cuisine # i love vietnamese food # how many people would be in your party # for six people please # ,which price range are looking for
can you book a table in beijing # any preference on a type of cuisine # i love vietnamese food # how many people would be in your party # for six people please # which price range are looking for # i am looking for a expensive restaurant # ,api_call
instead could it be in a moderate price range # ,sure is there anything else to update
actually i would prefer for two # ,sure is there anything else to update
actually i would prefer with thai cuisine # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
i love that # ,great let me do the reservation
what is the phone number of the restaurant # ,phone_call
what is the phone number of the restaurant # phone_call # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
can you make a restaurant reservation for two people # ,any preference on a type of cuisine
can you make a restaurant reservation for two people # any preference on a type of cuisine # with korean food # ,where should it be
can you make a restaurant reservation for two people # any preference on a type of cuisine # with korean food # where should it be # beijing please # ,which price range are looking for
can you make a restaurant reservation for two people # any preference on a type of cuisine # with korean food # where should it be # beijing please # which price range are looking for # in a cheap price range please # ,api_call
actually i would prefer for eight people # ,sure is there anything else to update
actually i would prefer in tokyo # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # thanks # ,is there anything i can help you with
no thanks # ,you're welcome
can you make a restaurant reservation with cantonese food in a cheap price range for six people # ,where should it be
can you make a restaurant reservation with cantonese food in a cheap price range for six people # where should it be # seoul please # ,api_call
instead could it be for four # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # thank you # ,is there anything i can help you with
no thank you # ,you're welcome
can you make a restaurant reservation with korean cuisine for four # ,where should it be
can you make a restaurant reservation with korean cuisine for four # where should it be # in hanoi # ,which price range are looking for
can you make a restaurant reservation with korean cuisine for four # where should it be # in hanoi # which price range are looking for # in a expensive price range please # ,api_call
actually i would prefer in a moderate price range # ,sure is there anything else to update
actually i would prefer for six # ,sure is there anything else to update
actually i would prefer in tokyo # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
i love that # ,great let me do the reservation
can you provide the address # ,_address
can you provide the address # _address # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
may i have a table for four people in seoul # ,any preference on a type of cuisine
may i have a table for four people in seoul # any preference on a type of cuisine # with thai food # ,which price range are looking for
may i have a table for four people in seoul # any preference on a type of cuisine # with thai food # which price range are looking for # in a moderate price range please # ,api_call
actually i would prefer for eight # ,sure is there anything else to update
actually i would prefer in a expensive price range # ,sure is there anything else to update
no # ,api_call
let's do it # ,great let me do the reservation
may i have the phone number of the restaurant # ,phone_call
may i have the phone number of the restaurant # phone_call # may i have the address of the restaurant # ,_address
may i have the phone number of the restaurant # phone_call # may i have the address of the restaurant # _address # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
can you make a restaurant reservation in a cheap price range # ,any preference on a type of cuisine
can you make a restaurant reservation in a cheap price range # any preference on a type of cuisine # i love vietnamese food # ,where should it be
can you make a restaurant reservation in a cheap price range # any preference on a type of cuisine # i love vietnamese food # where should it be # in beijing # ,how many people would be in your party
can you make a restaurant reservation in a cheap price range # any preference on a type of cuisine # i love vietnamese food # where should it be # in beijing # how many people would be in your party # for eight please # ,api_call
actually i would prefer in bangkok # ,sure is there anything else to update
no # ,api_call
i love that # ,great let me do the reservation
what is the phone number of the restaurant # ,phone_call
what is the phone number of the restaurant # phone_call # can you provide the address # ,_address
what is the phone number of the restaurant # phone_call # can you provide the address # _address # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
can you book a table in a moderate price range with korean cuisine in seoul # ,how many people would be in your party
can you book a table in a moderate price range with korean cuisine in seoul # how many people would be in your party # for eight please # ,api_call
actually i would prefer with thai food # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # what is the phone number of the restaurant # ,phone_call
may i have the address of the restaurant # _address # what is the phone number of the restaurant # phone_call # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
can you make a restaurant reservation for eight people in a cheap price range # ,any preference on a type of cuisine
can you make a restaurant reservation for eight people in a cheap price range # any preference on a type of cuisine # with cantonese food # ,where should it be
can you make a restaurant reservation for eight people in a cheap price range # any preference on a type of cuisine # with cantonese food # where should it be # seoul please # ,api_call
actually i would prefer for two # ,sure is there anything else to update
no # ,api_call
that looks great # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # may i have the address of the restaurant # ,_address
do you have its phone number # phone_call # may i have the address of the restaurant # _address # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
may i have a table in bangkok # ,any preference on a type of cuisine
may i have a table in bangkok # any preference on a type of cuisine # with cantonese cuisine # ,how many people would be in your party
may i have a table in bangkok # any preference on a type of cuisine # with cantonese cuisine # how many people would be in your party # for two please # ,which price range are looking for
may i have a table in bangkok # any preference on a type of cuisine # with cantonese cuisine # how many people would be in your party # for two please # which price range are looking for # i am looking for a expensive restaurant # ,api_call
instead could it be in seoul # ,sure is there anything else to update
actually i would prefer for six # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
what is the phone number of the restaurant # ,phone_call
what is the phone number of the restaurant # phone_call # thanks # ,is there anything i can help you with
no thanks # ,you're welcome
i'd like to book a table with vietnamese cuisine in a expensive price range # ,where should it be
i'd like to book a table with vietnamese cuisine in a expensive price range # where should it be # in tokyo # ,how many people would be in your party
i'd like to book a table with vietnamese cuisine in a expensive price range # where should it be # in tokyo # how many people would be in your party # we will be eight # ,api_call
actually i would prefer in seoul # ,sure is there anything else to update
instead could it be for two # ,sure is there anything else to update
instead could it be in a moderate price range # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
what is the phone number of the restaurant # ,phone_call
what is the phone number of the restaurant # phone_call # thanks # ,is there anything i can help you with
no thank you # ,you're welcome
may i have a table in beijing with korean food # ,how many people would be in your party
may i have a table in beijing with korean food # how many people would be in your party # we will be four # ,which price range are looking for
may i have a table in beijing with korean food # how many people would be in your party # we will be four # which price range are looking for # i am looking for a cheap restaurant # ,api_call
instead could it be in tokyo # ,sure is there anything else to update
instead could it be in a expensive price range # ,sure is there anything else to update
no # ,api_call
that looks great # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # can you provide the address # ,_address
do you have its phone number # phone_call # can you provide the address # _address # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
can you make a restaurant reservation in tokyo with japanese food for four people # ,which price range are looking for
can you make a restaurant reservation in tokyo with japanese food for four people # which price range are looking for # in a expensive price range please # ,api_call
instead could it be with korean food # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # thank you # ,is there anything i can help you with
no thanks # ,you're welcome
can you make a restaurant reservation in hanoi for two people # ,any preference on a type of cuisine
can you make a restaurant reservation in hanoi for two people # any preference on a type of cuisine # with korean cuisine # ,which price range are looking for
can you make a restaurant reservation in hanoi for two people # any preference on a type of cuisine # with korean cuisine # which price range are looking for # i am looking for a cheap restaurant # ,api_call
instead could it be with vietnamese food # ,sure is there anything else to update
no # ,api_call
that looks great # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # may i have the phone number of the restaurant # ,phone_call
do you have its address # _address # may i have the phone number of the restaurant # phone_call # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
can you make a restaurant reservation with cantonese cuisine # ,where should it be
can you make a restaurant reservation with cantonese cuisine # where should it be # in seoul # ,how many people would be in your party
can you make a restaurant reservation with cantonese cuisine # where should it be # in seoul # how many people would be in your party # for six please # ,which price range are looking for
can you make a restaurant reservation with cantonese cuisine # where should it be # in seoul # how many people would be in your party # for six please # which price range are looking for # i am looking for a cheap restaurant # ,api_call
instead could it be in hanoi # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # may i have the phone number of the restaurant # ,phone_call
do you have its address # _address # may i have the phone number of the restaurant # phone_call # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
can you book a table in a moderate price range with thai cuisine # ,where should it be
can you book a table in a moderate price range with thai cuisine # where should it be # in seoul # ,how many people would be in your party
can you book a table in a moderate price range with thai cuisine # where should it be # in seoul # how many people would be in your party # for six please # ,api_call
instead could it be in a expensive price range # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
it's perfect # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # may i have the address of the restaurant # ,_address
do you have its phone number # phone_call # may i have the address of the restaurant # _address # thank you # ,is there anything i can help you with
no thank you # ,you're welcome
can you make a restaurant reservation with vietnamese cuisine in a expensive price range # ,where should it be
can you make a restaurant reservation with vietnamese cuisine in a expensive price range # where should it be # tokyo please # ,how many people would be in your party
can you make a restaurant reservation with vietnamese cuisine in a expensive price range # where should it be # tokyo please # how many people would be in your party # for six people please # ,api_call
actually i would prefer for four # ,sure is there anything else to update
actually i would prefer in a cheap price range # ,sure is there anything else to update
instead could it be in bangkok # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
i love that # ,great let me do the reservation
what is the phone number of the restaurant # ,phone_call
what is the phone number of the restaurant # phone_call # can you provide the address # ,_address
what is the phone number of the restaurant # phone_call # can you provide the address # _address # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
may i have a table in bangkok in a moderate price range for four # ,any preference on a type of cuisine
may i have a table in bangkok in a moderate price range for four # any preference on a type of cuisine # with cantonese cuisine # ,api_call
instead could it be in beijing # ,sure is there anything else to update
instead could it be for two people # ,sure is there anything else to update
instead could it be with thai food # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
can you make a restaurant reservation in bangkok for two people # ,any preference on a type of cuisine
can you make a restaurant reservation in bangkok for two people # any preference on a type of cuisine # with korean cuisine # ,which price range are looking for
can you make a restaurant reservation in bangkok for two people # any preference on a type of cuisine # with korean cuisine # which price range are looking for # in a expensive price range please # ,api_call
instead could it be with cantonese cuisine # ,sure is there anything else to update
actually i would prefer in a moderate price range # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # may i have the phone number of the restaurant # ,phone_call
do you have its address # _address # may i have the phone number of the restaurant # phone_call # thank you # ,is there anything i can help you with
no thank you # ,you're welcome
may i have a table with vietnamese cuisine in a moderate price range # ,where should it be
may i have a table with vietnamese cuisine in a moderate price range # where should it be # in seoul # ,how many people would be in your party
may i have a table with vietnamese cuisine in a moderate price range # where should it be # in seoul # how many people would be in your party # for two people please # ,api_call
actually i would prefer for four # ,sure is there anything else to update
instead could it be in a expensive price range # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
i love that # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # what is the phone number of the restaurant # ,phone_call
may i have the address of the restaurant # _address # what is the phone number of the restaurant # phone_call # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
can you book a table with japanese food in hanoi # ,how many people would be in your party
can you book a table with japanese food in hanoi # how many people would be in your party # we will be four # ,which price range are looking for
can you book a table with japanese food in hanoi # how many people would be in your party # we will be four # which price range are looking for # i am looking for a cheap restaurant # ,api_call
instead could it be in a expensive price range # ,sure is there anything else to update
actually i would prefer for eight people # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
i love that # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # do you have its address # ,_address
do you have its phone number # phone_call # do you have its address # _address # thank you # ,is there anything i can help you with
no thank you # ,you're welcome
may i have a table for two # ,any preference on a type of cuisine
may i have a table for two # any preference on a type of cuisine # i love japanese food # ,where should it be
may i have a table for two # any preference on a type of cuisine # i love japanese food # where should it be # in tokyo # ,which price range are looking for
may i have a table for two # any preference on a type of cuisine # i love japanese food # where should it be # in tokyo # which price range are looking for # in a moderate price range please # ,api_call
actually i would prefer in seoul # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # thanks # ,is there anything i can help you with
no thank you # ,you're welcome
may i have a table in bangkok in a cheap price range # ,any preference on a type of cuisine
may i have a table in bangkok in a cheap price range # any preference on a type of cuisine # i love japanese food # ,how many people would be in your party
may i have a table in bangkok in a cheap price range # any preference on a type of cuisine # i love japanese food # how many people would be in your party # for eight please # ,api_call
instead could it be in tokyo # ,sure is there anything else to update
actually i would prefer with cantonese cuisine # ,sure is there anything else to update
actually i would prefer in a expensive price range # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
can you make a restaurant reservation with japanese food in a expensive price range # ,where should it be
can you make a restaurant reservation with japanese food in a expensive price range # where should it be # in hanoi # ,how many people would be in your party
can you make a restaurant reservation with japanese food in a expensive price range # where should it be # in hanoi # how many people would be in your party # for four please # ,api_call
actually i would prefer for two # ,sure is there anything else to update
actually i would prefer in a cheap price range # ,sure is there anything else to update
instead could it be in bangkok # ,sure is there anything else to update
